scene_id,view_idx,azimuth,elevation,n_matches_refractive,n_matches_matte,n_object_matches_refractive,n_object_matches_matte,n_background_matches_refractive,n_background_matches_matte,object_sampson_refractive_median,object_sampson_matte_median,object_sampson_ratio,background_sampson_refractive_median,background_sampson_matte_median,background_sampson_ratio
_fake_scene,0.0,29.999999999999996,19.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
_fake_scene,1.0,90.0,-10.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
_fake_scene,2.0,150.0,19.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scene_brass_goblet_v2,0.0,29.999999999999996,20.0,27.0,48.0,15.0,19.0,8.0,27.0,13.623133381427111,6.4136936042159505,2.124069876439395,11.632622461939604,17.508019549640135,0.6644168079066776
scene_brass_goblet_v2,1.0,90.0,-10.000000000000004,39.0,47.0,19.0,3.0,14.0,40.0,23.918106136785447,3.8149139232747253,6.269631928222937,23.98251400401093,9.140694989045485,2.6237079382642543
scene_brass_goblet_v2,2.0,150.0,20.0,25.0,47.0,9.0,9.0,14.0,33.0,34.13066253355245,5.694652451864315,5.99345839312437,34.36191469177521,38.22006049054887,0.8990544298136915
scene_brass_goblet_v2,3.0,210.0,-10.000000000000002,63.0,13.0,25.0,0.0,29.0,0.0,31.593221589105028,,,38.60016263535183,,
scene_brass_goblet_v2,4.0,270.0,20.0,24.0,21.0,7.0,1.0,12.0,18.0,25.486870830780532,10.20465076241272,2.4975740399326103,27.079482556148772,25.282004802508503,1.0710971209633628
scene_brass_goblet_v2,5.0,330.0,-10.0,132.0,181.0,49.0,27.0,70.0,140.0,16.964149128046166,9.17557948090547,1.8488368133422894,8.301379614741862,8.658922467015044,0.958708158707369
scene_glass_suzanne,0.0,29.999999999999996,20.0,57.0,125.0,39.0,48.0,6.0,59.0,4.0990655140049075,10.313915030189781,0.3974306072918542,6.134757686159883,29.70404161527882,0.20652939305755477
scene_glass_suzanne,1.0,90.0,-10.000000000000004,51.0,3.0,21.0,0.0,12.0,0.0,12.963281055230912,,,13.12964033339513,,
scene_glass_suzanne,2.0,150.0,20.0,23.0,2.0,0.0,0.0,4.0,0.0,,,,27.27040877392031,,
scene_glass_suzanne,3.0,210.0,-10.000000000000002,18.0,17.0,0.0,0.0,0.0,0.0,,,,,,
scene_glass_suzanne,4.0,270.0,20.0,97.0,13.0,56.0,0.0,25.0,0.0,12.101189243904344,,,64.21262270008356,,
scene_glass_suzanne,5.0,330.0,-10.0,69.0,91.0,39.0,55.0,19.0,22.0,11.63653198271133,11.754777688004582,0.9899406259793482,25.84226686475847,20.139080373233266,1.2831900159207505
scene_v2_test,0.0,29.999999999999996,20.0,116.0,91.0,0.0,5.0,44.0,46.0,,5.897485575889633,,11.905099299697675,13.906474782232783,0.856083190465199
scene_v2_test,1.0,90.0,-10.000000000000004,66.0,50.0,0.0,11.0,52.0,36.0,,11.717078995483366,,24.66351393419433,10.994137205357944,2.2433332851417096
scene_v2_test,2.0,150.0,20.0,34.0,62.0,0.0,0.0,29.0,47.0,,,,75.4134470545662,47.79714910243235,1.577781279233838
scene_v2_test,3.0,210.0,-10.000000000000002,7.0,45.0,0.0,0.0,0.0,29.0,,,,,48.07213440497096,
scene_v2_test,4.0,270.0,20.0,44.0,80.0,0.0,0.0,33.0,70.0,,,,32.15612072932258,60.477830989440676,0.5317009589007414
scene_v2_test,5.0,330.0,-10.0,41.0,102.0,0.0,10.0,16.0,85.0,,6.624753216014307,,15.654042446131104,7.675286172509555,2.0395386040717187
